企业代号,信誉评级,是否违约,违约率,贷款金额,流失率,利率
E50,C,0,0.05882352941176471,16544.2820034807,0.6333491535687041,0.09371723
E51,B,0,0.02631578947368421,14800.434253255578,0.7439080660213805,0.11058129
E53,C,0,0.05882352941176471,11814.5964825437,0.7517733269517086,0.11460921
E54,A,0,0.0,9360.246870234796,0.443659897649059,0.06608151
E55,C,0,0.05882352941176471,10956.751210133583,0.24966041278527396,0.05363761
E56,C,0,0.05882352941176471,8553.143300508626,0.7448315690204111,0.10630442
E57,B,0,0.02631578947368421,9618.6723779902,0.744908760905475,0.11066486
E58,B,0,0.02631578947368421,5744.944494218868,0.6449939289694745,0.09574112
E59,A,0,0.0,5306.661283736029,0.6609675198999602,0.08825049
E60,B,0,0.02631578947368421,9005.297351549836,0.6211554481327399,0.08968286
E61,B,0,0.02631578947368421,9473.067817816336,0.5590263764168213,0.08395319
E62,B,0,0.02631578947368421,8229.677530791569,0.6434454487443846,0.09557054
E63,B,0,0.02631578947368421,10424.26270613783,0.717944024437328,0.10821421
E64,A,0,0.0,11142.257450774398,0.7833941355714333,0.10736228
E65,B,0,0.02631578947368421,9576.061589738936,0.8180528345706449,0.12783672
E66,B,0,0.02631578947368421,11273.705253643679,0.7218140213034661,0.10861315
E67,B,0,0.02631578947368421,9587.543356267885,0.8444875173950614,0.1372195
E68,C,0,0.05882352941176471,14383.547619663064,0.37567372591250037,0.06512075
E69,C,0,0.05882352941176471,8531.875966798609,0.7382811174261706,0.11343033
E70,B,0,0.02631578947368421,9286.847584638876,0.7926977287294046,0.12263328
E71,B,0,0.02631578947368421,16781.39110800906,0.7416041253253775,0.11038823
E72,C,0,0.05882352941176471,5055.278945569116,0.7566365603277477,0.11510734
E73,C,0,0.05882352941176471,8339.318482116656,0.6568135082628649,0.09800714
E74,B,0,0.02631578947368421,12931.784749025664,0.7690439698105311,0.11291416
E75,C,0,0.05882352941176471,10652.609363795647,0.7331062021633412,0.10630798
E76,B,0,0.02631578947368421,14180.703467871917,0.8284535293647213,0.13267345
E77,C,0,0.05882352941176471,9551.517410622064,0.7349006067619714,0.11314981
E78,C,0,0.05882352941176471,9058.235712715112,0.7326439278812282,0.10630986
E79,B,0,0.02631578947368421,12656.1313183807,0.8939403592196924,0.14998826
E80,C,0,0.05882352941176471,11999.664592688005,0.676872610198479,0.1006541
E81,A,0,0.0,9008.658173316764,0.8300540025140486,0.1243209
E83,B,0,0.02631578947368421,13282.097166933767,0.15040014988617517,0.04743973
E84,A,0,0.0,11346.717003071195,0.7259736702868315,0.10187769
E85,B,0,0.02631578947368421,7073.1234332331105,0.7545735332355086,0.11148105
E86,C,0,0.05882352941176471,7902.058831699131,0.827159858931982,0.13264893
E87,C,1,0.05882352941176471,7968.594303827212,0.6518692435551271,0.09591001
E88,A,0,0.0,5055.278945569116,0.3200017290926471,0.05609349
E89,A,0,0.0,7831.301280894104,0.6622132354189568,0.08874582
E90,C,0,0.05882352941176471,5055.278945569116,0.7129710149044044,0.10850959
E91,A,0,0.0,8351.805325826921,0.7930940736117917,0.10868406
E92,C,0,0.05882352941176471,6956.209825976439,0.776098340606063,0.11829289
E93,B,0,0.02631578947368421,7095.500129889528,0.73925003530007,0.11018954
E94,C,0,0.05882352941176471,17195.88726700801,0.5962648630815158,0.09119779
E95,B,0,0.02631578947368421,8967.579475409702,0.7678681564554227,0.11277353
E96,C,0,0.05882352941176471,9825.307525321627,0.6744037655406971,0.1004188
E97,B,0,0.02631578947368421,11292.57401700047,0.794675940755414,0.12286213
E98,B,0,0.02631578947368421,13400.06448087084,0.8232043675190187,0.1309054
E104,C,0,0.05882352941176471,18159.222513925175,0.6961386366444008,0.10242884
E105,C,0,0.05882352941176471,7432.084801846719,0.6903756336895365,0.10188783
E106,B,0,0.02631578947368421,13621.53823227564,0.17997132742362962,0.04911859
E110,C,0,0.05882352941176471,5055.278945569116,0.5774107195313102,0.08552131
